,Continent,Region,Destination,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
44,Africa,Western Africa,Côte d'Ivoire,795126,908399,937452,981392,1025743,1069699,1104856,999832,1130396,1165869,1220525,1274771,1329411,1373129
45,Africa,Western Africa,Gambia,50543,67207,83276,83577,85529,88810,99358,64140,79439,93922,93053,94843,98145,109795
46,Africa,Western Africa,Ghana,75760,119995,87653,136257,129713,159651,179276,77948,121778,91523,150707,157328,193566,218235
47,Africa,Western Africa,Guinea,201249,386368,277645,98400,67495,43685,41624,198737,382854,272870,89824,61755,61000,58221
48,Africa,Western Africa,Guinea-Bissau,7340,13574,9526,9882,10412,11141,12990,7386,13309,9411,9772,9998,10501,12175
49,Africa,Western Africa,Liberia,31437,88200,61833,33191,40218,46469,38041,43162,101528,73239,45028,52652,59907,48143
50,Africa,Western Africa,Mali,70078,76187,65575,89340,151041,187104,215228,72391,80749,71832,95167,156597,194050,224455
51,Africa,Western Africa,Mauritania,52653,41176,24793,24102,23988,56303,58516,56064,45265,29021,30302,31273,75128,78220
52,Africa,Western Africa,Niger,55253,71302,59121,60248,61296,126155,146541,49759,64369,52860,53750,54535,114705,133891
53,Africa,Western Africa,Nigeria,131499,160000,195401,363473,370748,485855,509064,168057,201537,242576,506652,516783,590587,618804
54,Africa,Western Africa,Saint Helena,60,41,41,67,93,103,108,99,63,56,73,114,210,252
55,Africa,Western Africa,Senegal,109792,117883,89220,91614,96672,99713,103014,121164,129063,106284,107812,115688,119610,123495
56,Africa,Western Africa,Sierra Leone,98776,42103,43313,69185,35251,25385,23257,122322,55388,53664,76209,43037,32497,30166
57,Africa,Western Africa,Togo,34517,43155,59758,90154,115514,125987,125998,39534,47567,64726,94375,119728,129860,131471
58,Africa,Western Asia,Armenia,334860,386579,0,0,0,101995,100549,229802,268207,0,0,0,69300,69815
59,Africa,Western Asia,Azerbaijan,200823,192972,185079,0,146099,136354,130988,156001,147770,139747,0,128117,125211,120287
60,Africa,Western Asia,Bahrain,47715,57721,68654,106895,168438,186688,196489,116895,136971,156699,274714,453662,494026,520004
61,Africa,Western Asia,Cyprus,23074,33981,44811,66013,106683,105929,104711,20143,27164,34191,49619,82600,82612,83622
62,Africa,Western Asia,Georgia,165034,84729,40974,38904,39280,41223,42504,124150,64861,32133,30526,30828,32368,33345
