,Continent,Female_1990,Female_1995,Female_2000,Female_2005,Female_2010,Female_2015,Female_2019,Male_1990,Male_1995,Male_2000,Male_2005,Male_2010,Male_2015,Male_2019
0,Africa,11846196,12757835,11907011,12420331,15885056,21676136,24909840,15027954,16362151,16178196,18511811,25882488,34030325,39090797
1,America,15824975,19013209,21728137,20777799,28703985,31545846,34211012,15033995,18285619,21186259,20486362,27292847,29795093,32086394
2,Asia,12251937,12351182,10997956,9564225,12672912,15383547,15702445,12465484,12325478,10920110,9672795,12527732,15656359,16131608
3,Europe,24177947,25919607,26902228,28617244,34383110,36650530,39657037,22689994,24177773,25010066,26634760,31730875,33410829,37165689
4,Oceania,2276145,2421945,400907,54151,3463662,3915040,4348104,2371622,2468619,394803,60805,3418407,3852477,4248668
