,Continent,Region,Origin,Female,Male
96,Africa,Middle Africa,Equatorial Guinea,186213.0,211014.0
97,Africa,Middle Africa,France,126923.0,148669.0
98,Africa,Middle Africa,Gabon,10567.0,10984.0
99,Africa,Middle Africa,Germany,1904.0,1777.0
100,Africa,Middle Africa,Ghana,3760.0,24000.0
101,Africa,Middle Africa,Greece,190.0,351.0
102,Africa,Middle Africa,Guinea,20007.0,33819.0
103,Africa,Middle Africa,Ireland,41.0,30.0
104,Africa,Middle Africa,Israel,22.0,46.0
105,Africa,Middle Africa,Italy,832.0,1066.0
106,Africa,Middle Africa,Japan,58.0,79.0
107,Africa,Middle Africa,Lebanon,4936.0,10940.0
108,Africa,Middle Africa,Liberia,6613.0,5473.0
109,Africa,Middle Africa,Libya,4192.0,4065.0
110,Africa,Middle Africa,Mali,133896.0,268759.0
111,Africa,Middle Africa,Mauritania,3077.0,10324.0
112,Africa,Middle Africa,Morocco,1455.0,1661.0
113,Africa,Middle Africa,Mozambique,527.0,1380.0
114,Africa,Middle Africa,Namibia,1277.0,1237.0
115,Africa,Middle Africa,Netherlands,309.0,391.0
116,Africa,Middle Africa,Niger,20762.0,28756.0
117,Africa,Middle Africa,Nigeria,368560.0,455251.0
118,Africa,Middle Africa,Portugal,13245.0,17232.0
119,Africa,Middle Africa,Republic of Korea,297.0,549.0
120,Africa,Middle Africa,Russian Federation,7162.0,4968.0
121,Africa,Middle Africa,Rwanda,1044082.0,1037385.0
122,Africa,Middle Africa,Sao Tome and Principe,27318.0,28759.0
123,Africa,Middle Africa,Senegal,42971.0,159705.0
124,Africa,Middle Africa,Slovenia,139.0,173.0
125,Africa,Middle Africa,South Africa,9170.0,9115.0
126,Africa,Middle Africa,South Sudan,276158.0,256093.0
127,Africa,Middle Africa,Spain,2356.0,3418.0
128,Africa,Middle Africa,Sudan,812549.0,704708.0
129,Africa,Middle Africa,Sweden,47.0,49.0
130,Africa,Middle Africa,Switzerland,640.0,563.0
131,Africa,Middle Africa,Syrian Arab Republic,51.0,72.0
132,Africa,Middle Africa,Togo,52106.0,58751.0
133,Africa,Middle Africa,Tunisia,398.0,577.0
134,Africa,Middle Africa,Turkey,42.0,12.0
135,Africa,Middle Africa,Uganda,57326.0,47436.0
136,Africa,Middle Africa,United Kingdom,316.0,406.0
137,Africa,Middle Africa,United States of America,3077.0,6757.0
138,Africa,Northern Africa,Armenia,1493.0,1371.0
139,Africa,Northern Africa,Australia,3318.0,5082.0
140,Africa,Northern Africa,Austria,5220.0,4796.0
141,Africa,Northern Africa,Azerbaijan,5.0,150.0
142,Africa,Northern Africa,Bahamas,57.0,14.0
143,Africa,Northern Africa,Bahrain,3240.0,5153.0
144,Africa,Northern Africa,Bangladesh,536.0,7121.0
145,Africa,Northern Africa,Belarus,2930.0,3215.0
146,Africa,Northern Africa,Belgium,8072.0,8801.0
147,Africa,Northern Africa,Benin,5.0,198.0
148,Africa,Northern Africa,Bosnia and Herzegovina,686.0,1278.0
149,Africa,Northern Africa,Brazil,1265.0,1246.0
150,Africa,Northern Africa,Brunei Darussalam,209.0,142.0
151,Africa,Northern Africa,Bulgaria,198.0,162.0
152,Africa,Northern Africa,Burkina Faso,36.0,305.0
153,Africa,Northern Africa,Burundi,17.0,188.0
154,Africa,Northern Africa,Cameroon,1066.0,1598.0
155,Africa,Northern Africa,Canada,6506.0,11601.0
156,Africa,Northern Africa,Central African Republic,59451.0,62619.0
157,Africa,Northern Africa,Chad,339024.0,350275.0
158,Africa,Northern Africa,Chile,64.0,69.0
159,Africa,Northern Africa,China,10971.0,20296.0
160,Africa,Northern Africa,Colombia,58.0,254.0
161,Africa,Northern Africa,Comoros,3887.0,22839.0
162,Africa,Northern Africa,Congo,5632.0,6998.0
163,Africa,Northern Africa,Croatia,108.0,457.0
164,Africa,Northern Africa,Cyprus,211.0,253.0
165,Africa,Northern Africa,Czechia,623.0,495.0
166,Africa,Northern Africa,Côte d'Ivoire,3967.0,6078.0
167,Africa,Northern Africa,Dem People's Republic of Korea,220.0,335.0
168,Africa,Northern Africa,Democratic Republic of the Congo,46769.0,53405.0
169,Africa,Northern Africa,Denmark,2587.0,3878.0
170,Africa,Northern Africa,Djibouti,2984.0,6709.0
171,Africa,Northern Africa,Ecuador,42.0,16.0
172,Africa,Northern Africa,Egypt,109328.0,155096.0
173,Africa,Northern Africa,El Salvador,2243.0,2904.0
174,Africa,Northern Africa,Eritrea,740765.0,762654.0
175,Africa,Northern Africa,Estonia,54.0,63.0
176,Africa,Northern Africa,Ethiopia,955162.0,923867.0
177,Africa,Northern Africa,Finland,2747.0,3293.0
178,Africa,Northern Africa,France,122242.0,134686.0
179,Africa,Northern Africa,Gambia,39.0,123.0
180,Africa,Northern Africa,Germany,66025.0,79998.0
181,Africa,Northern Africa,Ghana,1088.0,3996.0
182,Africa,Northern Africa,Gibraltar,14.0,30.0
183,Africa,Northern Africa,Greece,12361.0,12607.0
184,Africa,Northern Africa,Guatemala,22.0,22.0
185,Africa,Northern Africa,Guinea,4568.0,6742.0
186,Africa,Northern Africa,Guinea-Bissau,3114.0,4568.0
187,Africa,Northern Africa,Hungary,1454.0,1390.0
188,Africa,Northern Africa,India,15584.0,30731.0
189,Africa,Northern Africa,Indonesia,16213.0,71522.0
190,Africa,Northern Africa,Iran (Islamic Republic of),1107.0,2223.0
191,Africa,Northern Africa,Iraq,161437.0,265404.0
192,Africa,Northern Africa,Ireland,308.0,210.0
193,Africa,Northern Africa,Israel,1643.0,2459.0
194,Africa,Northern Africa,Italy,46600.0,57634.0
195,Africa,Northern Africa,Japan,7884.0,9652.0
196,Africa,Northern Africa,Jordan,52160.0,94922.0
197,Africa,Northern Africa,Kazakhstan,1668.0,3831.0
198,Africa,Northern Africa,Kenya,16991.0,19052.0
199,Africa,Northern Africa,Kuwait,22649.0,58097.0
200,Africa,Northern Africa,Kyrgyzstan,66.0,236.0
201,Africa,Northern Africa,Lebanon,41754.0,49851.0
202,Africa,Northern Africa,Liberia,77.0,159.0
203,Africa,Northern Africa,Libya,39860.0,44782.0
204,Africa,Northern Africa,Madagascar,7.0,215.0
205,Africa,Northern Africa,Malawi,22.0,118.0
206,Africa,Northern Africa,Malaysia,17835.0,49813.0
207,Africa,Northern Africa,Maldives,29.0,83.0
208,Africa,Northern Africa,Mali,6562.0,9560.0
209,Africa,Northern Africa,Mauritania,7202.0,10658.0
210,Africa,Northern Africa,Mexico,220.0,127.0
211,Africa,Northern Africa,Monaco,785.0,1212.0
212,Africa,Northern Africa,Mongolia,7.0,49.0
213,Africa,Northern Africa,Morocco,38877.0,35462.0
214,Africa,Northern Africa,Mozambique,33.0,49.0
215,Africa,Northern Africa,Myanmar,5.0,53.0
216,Africa,Northern Africa,Namibia,1012.0,542.0
217,Africa,Northern Africa,Netherlands,8651.0,9776.0
218,Africa,Northern Africa,New Zealand,174.0,338.0
219,Africa,Northern Africa,Niger,447.0,2278.0
220,Africa,Northern Africa,Nigeria,76664.0,91690.0
221,Africa,Northern Africa,North Macedonia,262.0,400.0
222,Africa,Northern Africa,Norway,1066.0,1618.0
223,Africa,Northern Africa,Oman,3378.0,9375.0
224,Africa,Northern Africa,Pakistan,4582.0,11885.0
225,Africa,Northern Africa,Philippines,14805.0,14582.0
226,Africa,Northern Africa,Poland,3510.0,3536.0
227,Africa,Northern Africa,Portugal,126.0,108.0
228,Africa,Northern Africa,Qatar,2906.0,7096.0
229,Africa,Northern Africa,Republic of Korea,1923.0,4284.0
230,Africa,Northern Africa,Republic of Moldova,33.0,269.0
231,Africa,Northern Africa,Romania,2693.0,2401.0
232,Africa,Northern Africa,Russian Federation,72366.0,55603.0
233,Africa,Northern Africa,Rwanda,51.0,202.0
234,Africa,Northern Africa,Saudi Arabia,68713.0,174435.0
235,Africa,Northern Africa,Senegal,11587.0,19400.0
236,Africa,Northern Africa,Seychelles,33.0,63.0
237,Africa,Northern Africa,Sierra Leone,659.0,960.0
238,Africa,Northern Africa,Singapore,1334.0,2847.0
239,Africa,Northern Africa,Slovakia,193.0,143.0
240,Africa,Northern Africa,Somalia,193633.0,423265.0
241,Africa,Northern Africa,South Africa,1765.0,3299.0
242,Africa,Northern Africa,South Sudan,644276.0,633458.0
243,Africa,Northern Africa,Spain,14275.0,15710.0
244,Africa,Northern Africa,Sri Lanka,1628.0,2414.0
245,Africa,Northern Africa,State of Palestine,816738.0,1465368.0
246,Africa,Northern Africa,Sudan,136565.0,192778.0
247,Africa,Northern Africa,Sweden,2687.0,4318.0
248,Africa,Northern Africa,Switzerland,9183.0,10621.0
249,Africa,Northern Africa,Syrian Arab Republic,184057.0,255394.0
250,Africa,Northern Africa,Tajikistan,918.0,3126.0
251,Africa,Northern Africa,Thailand,3957.0,19450.0
252,Africa,Northern Africa,Tunisia,15801.0,18992.0
253,Africa,Northern Africa,Turkey,5156.0,14908.0
254,Africa,Northern Africa,Turkmenistan,319.0,1128.0
255,Africa,Northern Africa,Uganda,104228.0,107018.0
256,Africa,Northern Africa,Ukraine,2685.0,2580.0
257,Africa,Northern Africa,United Arab Emirates,6265.0,12543.0
258,Africa,Northern Africa,United Kingdom,31743.0,44276.0
259,Africa,Northern Africa,United Republic of Tanzania,614.0,2108.0
260,Africa,Northern Africa,United States of America,55308.0,75667.0
261,Africa,Northern Africa,Uzbekistan,1228.0,3205.0
262,Africa,Northern Africa,Venezuela (Bolivarian Republic of),100.0,63.0
263,Africa,Southern Africa,Armenia,4.0,517.0
264,Africa,Southern Africa,Australia,29413.0,20644.0
265,Africa,Southern Africa,Austria,18068.0,20768.0
266,Africa,Southern Africa,Bahamas,307.0,104.0
267,Africa,Southern Africa,Bahrain,1165.0,340.0
268,Africa,Southern Africa,Bangladesh,4335.0,12979.0
