,Year,Female,Male
0,1990,66377200.0,67589049.0
1,1995,72463778.0,73619640.0
2,2000,71936239.0,73689434.0
3,2005,71433750.0,75366533.0
4,2010,95108725.0,100852349.0
5,2015,109171099.0,116745083.0
6,2019,118828438.0,128723156.0
