,Continent,Region,Destination,Female,Male
110,America,North America,Bermuda,52524.0,49626.0
111,America,North America,Canada,18832550.0,17336140.0
112,America,North America,Greenland,14566.0,31413.0
113,America,North America,Saint Pierre and Miquelon,3595.0,3833.0
114,America,North America,United States of America,128209596.0,121931874.0
115,America,South America,Argentina,4838712.0,4215593.0
116,America,South America,Bolivia (Plurinational State of),216451.0,240530.0
117,America,South America,Brazil,2134413.0,2441246.0
118,America,South America,Chile,1215350.0,1087532.0
119,America,South America,Colombia,886044.0,919519.0
120,America,South America,Ecuador,656745.0,676219.0
121,America,South America,Falkland Islands (Malvinas),3551.0,4696.0
122,America,South America,French Guiana,298419.0,294005.0
123,America,South America,Guyana,31488.0,36972.0
124,America,South America,Paraguay,357193.0,407877.0
125,America,South America,Peru,557737.0,655677.0
126,America,South America,Suriname,61628.0,73619.0
127,America,South America,Uruguay,205310.0,182704.0
128,America,South America,Venezuela (Bolivarian Republic of),4085747.0,4106666.0
129,Asia,Central Asia,Kazakhstan,6707346.0,6143373.0
130,Asia,Central Asia,Kyrgyzstan,1241912.0,877977.0
131,Asia,Central Asia,Tajikistan,1184182.0,910285.0
132,Asia,Central Asia,Turkmenistan,843357.0,730828.0
133,Asia,Central Asia,Uzbekistan,4948130.0,3961667.0
134,Asia,Eastern Asia,China,942775.0,1371206.0
135,Asia,Eastern Asia,"China, Hong Kong SAR",8331555.0,6601295.0
136,Asia,Eastern Asia,"China, Macao SAR",1000101.0,863678.0
137,Asia,Eastern Asia,Dem People's Republic of Korea,133374.0,134202.0
138,Asia,Eastern Asia,Japan,6545724.0,5887928.0
139,Asia,Eastern Asia,Mongolia,29952.0,56037.0
140,Asia,Eastern Asia,Republic of Korea,1701173.0,2235468.0
141,Asia,South-Eastern Asia,Brunei Darussalam,159112.0,208390.0
142,Asia,South-Eastern Asia,Cambodia,237615.0,247078.0
143,Asia,South-Eastern Asia,Indonesia,959532.0,1137997.0
144,Asia,South-Eastern Asia,Lao People's Democratic Republic,79734.0,113467.0
145,Asia,South-Eastern Asia,Malaysia,5257142.0,7799563.0
146,Asia,South-Eastern Asia,Myanmar,263905.0,310318.0
147,Asia,South-Eastern Asia,Philippines,558853.0,615688.0
148,Asia,South-Eastern Asia,Singapore,5647591.0,4434053.0
149,Asia,South-Eastern Asia,Thailand,7459216.0,7643181.0
150,Asia,South-Eastern Asia,Timor-Leste,29136.0,31375.0
151,Asia,South-Eastern Asia,Viet Nam,158490.0,215477.0
152,Asia,Southern Asia,Afghanistan,280035.0,301934.0
153,Asia,Southern Asia,Bangladesh,3039807.0,3450664.0
154,Asia,Southern Asia,Bhutan,43633.0,212098.0
155,Asia,Southern Asia,India,20415880.0,21805753.0
156,Asia,Southern Asia,Iran (Islamic Republic of),1296676.0,1792366.0
157,Asia,Southern Asia,Maldives,65985.0,205234.0
158,Asia,Southern Asia,Nepal,2688000.0,1231514.0
159,Asia,Southern Asia,Pakistan,6551371.0,8024348.0
160,Asia,Southern Asia,Sri Lanka,122910.0,145124.0
161,Europe,Eastern Europe,Belarus,3076355.0,2598207.0
162,Europe,Eastern Europe,Bulgaria,238822.0,207531.0
163,Europe,Eastern Europe,Czechia,904169.0,1173378.0
164,Europe,Eastern Europe,Hungary,1387387.0,1273336.0
165,Europe,Eastern Europe,Poland,3114716.0,2248162.0
166,Europe,Eastern Europe,Republic of Moldova,942758.0,671324.0
167,Europe,Eastern Europe,Romania,697825.0,685548.0
168,Europe,Eastern Europe,Russian Federation,41136711.0,40230047.0
169,Europe,Eastern Europe,Slovakia,457154.0,406680.0
170,Europe,Eastern Europe,Ukraine,20279242.0,15302698.0
171,Europe,Northern Europe,Channel Islands,185876.0,168246.0
172,Europe,Northern Europe,Denmark,1368225.0,1299094.0
173,Europe,Northern Europe,Estonia,1031245.0,749780.0
174,Europe,Northern Europe,Faroe Islands,14438.0,16328.0
175,Europe,Northern Europe,Finland,683035.0,690524.0
176,Europe,Northern Europe,Iceland,95325.0,92286.0
177,Europe,Northern Europe,Ireland,1850309.0,1839586.0
178,Europe,Northern Europe,Isle of Man,134004.0,126679.0
179,Europe,Northern Europe,Latvia,1627845.0,1179157.0
180,Europe,Northern Europe,Lithuania,763961.0,642854.0
181,Europe,Northern Europe,Norway,1512107.0,1568435.0
182,Europe,Northern Europe,Sweden,4177218.0,3957910.0
183,Europe,Northern Europe,United Kingdom,21889361.0,19997735.0
184,Europe,Southern Europe,Albania,131366.0,127705.0
185,Europe,Southern Europe,Andorra,117693.0,130549.0
186,Europe,Southern Europe,Bosnia and Herzegovina,189071.0,172513.0
187,Europe,Southern Europe,Croatia,1897819.0,1654668.0
188,Europe,Southern Europe,Gibraltar,27493.0,27103.0
189,Europe,Southern Europe,Greece,2743760.0,2319634.0
190,Europe,Southern Europe,Italy,13333166.0,10960879.0
191,Europe,Southern Europe,Malta,117551.0,123190.0
192,Europe,Southern Europe,Montenegro,127789.0,83547.0
193,Europe,Southern Europe,North Macedonia,226290.0,164782.0
