;Origin;Female;Male;Region;Continent;;;
76;Greenland;51133.0;36588.0;North America;America;;;
168;Saint Pierre and Miquelon;1303.0;1482.0;North America;America;;;
212;United States of America;7738286.0;7772191.0;North America;America;;;
55;Egypt;5460264.0;10176134.0;Northern Africa;Africa;;;
110;Libya;364816.0;418642.0;Northern Africa;Africa;;;
131;Morocco;7716779.0;9223517.0;Northern Africa;Africa;;;
189;Sudan;3759242.0;4768085.0;Northern Africa;Africa;;;
201;Tunisia;1784048.0;2425503.0;Northern Africa;Africa;;;
32;Channel Islands;62303.0;57793.0;Northern Europe;Europe;;;
50;Denmark;823442.0;717956.0;Northern Europe;Europe;;;
59;Estonia;587422.0;491301.0;Northern Europe;Europe;;;
63;Faroe Islands;42148.0;30720.0;Northern Europe;Europe;;;
65;Finland;1197240.0;787355.0;Northern Europe;Europe;;;
88;Iceland;100759.0;98046.0;Northern Europe;Europe;;;
93;Ireland;3047087.0;2463859.0;Northern Europe;Europe;;;
94;Isle of Man;34371.0;32840.0;Northern Europe;Europe;;;
106;Latvia;998847.0;825591.0;Northern Europe;Europe;;;
112;Lithuania;1709321.0;1355935.0;Northern Europe;Europe;;;
146;Norway;654897.0;508192.0;Northern Europe;Europe;;;
191;Sweden;1069407.0;836452.0;Northern Europe;Europe;;;
209;United Kingdom;12875663.0;12984791.0;Northern Europe;Europe;;;
15;Bolivia (Plurinational State of);1744253.0;1608946.0;South America;America;;;
19;Brazil;4537913.0;3375828.0;South America;America;;;
33;Chile;1762223.0;1632697.0;South America;America;;;
37;Colombia;7371232.0;6206883.0;South America;America;;;
54;Ecuador;2813855.0;2603179.0;South America;America;;;
62;Falkland Islands (Malvinas);4205.0;3177.0;South America;America;;;
67;French Guiana;15055.0;11288.0;South America;America;;;
68;French Polynesia;7857.0;8410.0;South America;America;;;
83;Guyana;1406967.0;1233677.0;South America;America;;;
152;Paraguay;1860616.0;1406222.0;South America;America;;;
153;Peru;3641597.0;2823655.0;South America;America;;;
190;Suriname;901341.0;765279.0;South America;America;;;
213;Uruguay;941182.0;871153.0;South America;America;;;
216;Venezuela (Bolivarian Republic of);2668021.0;2293824.0;South America;America;;;
21;Brunei Darussalam;112451.0;167216.0;South-Eastern Asia;Asia;;;
26;Cambodia;2577461.0;2326301.0;South-Eastern Asia;Asia;;;
90;Indonesia;8927316.0;11439807.0;South-Eastern Asia;Asia;;;
105;Lao People's Democratic Republic;3368069.0;2928803.0;South-Eastern Asia;Asia;;;
116;Malaysia;4662243.0;3846321.0;South-Eastern Asia;Asia;;;
133;Myanmar;5672326.0;7696185.0;South-Eastern Asia;Asia;;;
154;Philippines;14656145.0;11905280.0;South-Eastern Asia;Asia;;;
178;Singapore;828111.0;762928.0;South-Eastern Asia;Asia;;;
195;Thailand;2763030.0;1543758.0;South-Eastern Asia;Asia;;;
196;Timor-Leste;208123.0;226428.0;South-Eastern Asia;Asia;;;
217;Viet Nam;6929233.0;7040147.0;South-Eastern Asia;Asia;;;
18;Botswana;123296.0;194613.0;Southern Africa;Africa;;;
60;Eswatini;172387.0;223072.0;Southern Africa;Africa;;;
108;Lesotho;639323.0;854525.0;Southern Africa;Africa;;;
134;Namibia;322946.0;299130.0;Southern Africa;Africa;;;
135;Nauru;5609.0;5323.0;Southern Africa;Africa;;;
184;South Africa;1985448.0;1879083.0;Southern Africa;Africa;;;
7;Bangladesh;16608414.0;27311192.0;Southern Asia;Asia;;;
14;Bhutan;277584.0;288716.0;Southern Asia;Asia;;;
89;India;28897315.0;48264254.0;Southern Asia;Asia;;;
91;Iran (Islamic Republic of);2871586.0;3489839.0;Southern Asia;Asia;;;
117;Maldives;6776.0;8335.0;Southern Asia;Asia;;;
136;Nepal;3977128.0;5414812.0;Southern Asia;Asia;;;
148;Pakistan;11662611.0;19632198.0;Southern Asia;Asia;;;
149;Palau;9422.0;9277.0;Southern Asia;Asia;;;
187;Sri Lanka;3807162.0;4796069.0;Southern Asia;Asia;;;
17;Bosnia and Herzegovina;5053419.0;4762753.0;Southern Europe;Europe;;;
42;Croatia;2773658.0;2547184.0;Southern Europe;Europe;;;
74;Gibraltar;39040.0;37092.0;Southern Europe;Europe;;;
75;Greece;2919529.0;3170168.0;Southern Europe;Europe;;;
96;Italy;9206846.0;10149554.0;Southern Europe;Europe;;;
119;Malta;317203.0;310493.0;Southern Europe;Europe;;;
129;Montenegro;521398.0;463362.0;Southern Europe;Europe;;;
144;North Macedonia;1746025.0;1799974.0;Southern Europe;Europe;;;
145;Northern Mariana Islands;7174.0;7178.0;Southern Europe;Europe;;;
156;Portugal;6515201.0;6881550.0;Southern Europe;Europe;;;
171;San Marino;10815.0;7734.0;Southern Europe;Europe;;;
175;Serbia;2988941.0;3089856.0;Southern Europe;Europe;;;
181;Slovenia;442923.0;352496.0;Southern Europe;Europe;;;
186;Spain;4629346.0;3954172.0;Southern Europe;Europe;;;
12;Benin;1451440.0;1725105.0;Western Africa;Africa;;;
23;Burkina Faso;4134088.0;5255776.0;Western Africa;Africa;;;
25;Cabo Verde;516784.0;440439.0;Western Africa;Africa;;;
47;Côte d'Ivoire;2338622.0;2318468.0;Western Africa;Africa;;;
70;Gambia;180808.0;285352.0;Western Africa;Africa;;;
73;Ghana;2154869.0;2362891.0;Western Africa;Africa;;;
81;Guinea;1293878.0;1670383.0;Western Africa;Africa;;;
82;Guinea-Bissau;271719.0;305078.0;Western Africa;Africa;;;
109;Liberia;1154185.0;1141671.0;Western Africa;Africa;;;
118;Mali;2871430.0;3698099.0;Western Africa;Africa;;;
122;Mauritania;336315.0;504945.0;Western Africa;Africa;;;
141;Niger;682589.0;1059310.0;Western Africa;Africa;;;
142;Nigeria;2683340.0;3171455.0;Western Africa;Africa;;;
143;Niue;17005.0;16068.0;Western Africa;Africa;;;
165;Saint Helena;16494.0;11022.0;Western Africa;Africa;;;
174;Senegal;1293699.0;2091549.0;Western Africa;Africa;;;
177;Sierra Leone;795836.0;799514.0;Western Africa;Africa;;;
197;Togo;1187203.0;1223157.0;Western Africa;Africa;;;
198;Tokelau;5989.0;5968.0;Western Africa;Africa;;;
199;Tonga;152800.0;148061.0;Western Africa;Africa;;;
0;Armenia;2924548.0;3260889.0;Western Asia;Asia;;;
4;Azerbaijan;4140157.0;4545321.0;Western Asia;Asia;;;
6;Bahrain;143232.0;138441.0;Western Asia;Asia;;;
45;Cyprus;581194.0;585093.0;Western Asia;Asia;;;
71;Georgia;2984345.0;3054317.0;Western Asia;Asia;;;
92;Iraq;5311065.0;6378380.0;Western Asia;Asia;;;
95;Israel;1083034.0;1113308.0;Western Asia;Asia;;;
99;Jordan;1302018.0;2213163.0;Western Asia;Asia;;;
103;Kuwait;386048.0;573390.0;Western Asia;Asia;;;
107;Lebanon;1769306.0;2500443.0;Western Asia;Asia;;;
147;Oman;56703.0;63930.0;Western Asia;Asia;;;
158;Qatar;63407.0;64778.0;Western Asia;Asia;;;
