,Continent,Female,Male
0,Africa,111402405.0,165083722.0
1,America,171804963.0,164166569.0
2,Asia,88924204.0,89699566.0
3,Europe,216307703.0,200819986.0
4,Oceania,16879954.0,16815401.0
