,Continent,Region,Year,Female,Male
105,Europe,Northern Europe,1990,3391583.0,3091890.0
106,Europe,Northern Europe,1995,3676201.0,3282466.0
107,Europe,Northern Europe,2000,4007716.0,3525727.0
108,Europe,Northern Europe,2005,4574053.0,4121341.0
109,Europe,Northern Europe,2010,5645537.0,5234170.0
110,Europe,Northern Europe,2015,6591943.0,6094021.0
111,Europe,Northern Europe,2019,7445916.0,6978999.0
112,Europe,Southern Europe,1990,2019998.0,1795391.0
113,Europe,Southern Europe,1995,2731512.0,2429612.0
114,Europe,Southern Europe,2000,3340733.0,2988797.0
115,Europe,Southern Europe,2005,5386781.0,5000230.0
116,Europe,Southern Europe,2010,7520186.0,6984557.0
117,Europe,Southern Europe,2015,7575266.0,6589719.0
118,Europe,Southern Europe,2019,7928207.0,6869844.0
119,Europe,Western Europe,1990,7290437.0,7825719.0
120,Europe,Western Europe,1995,8474372.0,8672762.0
121,Europe,Western Europe,2000,9693548.0,9535048.0
122,Europe,Western Europe,2005,9141579.0,8880840.0
123,Europe,Western Europe,2010,11364382.0,10658381.0
124,Europe,Western Europe,2015,12318052.0,11543348.0
125,Europe,Western Europe,2019,13954562.0,13920213.0
126,Oceania,Australia / New Zealand,1990,2174973.0,2242462.0
127,Oceania,Australia / New Zealand,1995,2309432.0,2331988.0
128,Oceania,Australia / New Zealand,2000,328998.0,311202.0
129,Oceania,Australia / New Zealand,2010,3342092.0,3279369.0
130,Oceania,Australia / New Zealand,2015,3792628.0,3712520.0
131,Oceania,Australia / New Zealand,2019,4221673.0,4104490.0
132,Oceania,Melanesia,1990,34529.0,43959.0
133,Oceania,Melanesia,1995,35831.0,46663.0
134,Oceania,Melanesia,2000,29524.0,39167.0
135,Oceania,Melanesia,2005,13822.0,19603.0
136,Oceania,Melanesia,2010,40388.0,52121.0
137,Oceania,Melanesia,2015,43558.0,55236.0
138,Oceania,Melanesia,2019,45079.0,56999.0
139,Oceania,Micronesia,1990,44753.0,57094.0
140,Oceania,Micronesia,1995,52191.0,59299.0
141,Oceania,Micronesia,2000,27062.0,23996.0
142,Oceania,Micronesia,2005,25075.0,21543.0
143,Oceania,Micronesia,2010,53595.0,54619.0
144,Oceania,Micronesia,2015,52499.0,54027.0
145,Oceania,Micronesia,2019,54682.0,56008.0
146,Oceania,Polynesia,1990,21890.0,28107.0
147,Oceania,Polynesia,1995,24491.0,30669.0
148,Oceania,Polynesia,2000,15323.0,20438.0
149,Oceania,Polynesia,2005,15254.0,19659.0
150,Oceania,Polynesia,2010,27587.0,32298.0
151,Oceania,Polynesia,2015,26355.0,30694.0
152,Oceania,Polynesia,2019,26670.0,31171.0
